suite,scope,level,contrast,scenario_count,seed_block_count,seed_block_mean,episode_median,bootstrap_ci_low,bootstrap_ci_high,win,tie,loss,bootstrap_unit
reachability,condition,L075/T075,P-DVCBBA,64,64,0.01047652325859772,0.0,0.0007163742899673484,0.023155393523154426,8,54,2,shared seed block
reachability,condition,L075/T100,P-DVCBBA,64,64,0.009357593581282228,0.0,-0.0006290400779919327,0.02224755369640066,6,48,10,shared seed block
reachability,condition,L075/T125,P-DVCBBA,64,64,0.009319678812369463,0.0,-0.0006645853030038716,0.022232439970322954,9,48,7,shared seed block
reachability,condition,L100/T075,P-DVCBBA,64,64,0.01953179895331998,0.0,0.005147487543263286,0.03742043432335985,7,56,1,shared seed block
reachability,condition,L100/T100,P-DVCBBA,64,64,0.020520535516705383,0.0,0.006580308804570273,0.038204772919511194,12,50,2,shared seed block
reachability,condition,L100/T125,P-DVCBBA,64,64,0.01974106734511996,0.0,0.005873673528967765,0.03675737757520816,15,44,5,shared seed block
reachability,condition,L125/T075,P-DVCBBA,64,64,0.006166737285360924,0.0,-0.00034924768430375256,0.01720444790072662,4,59,1,shared seed block
reachability,condition,L125/T100,P-DVCBBA,64,64,0.026121258863458792,0.0,0.009425580718549254,0.04627635671070165,10,52,2,shared seed block
reachability,condition,L125/T125,P-DVCBBA,64,64,0.022482657350258152,0.0,0.0063944905203963285,0.04220505922393263,13,45,6,shared seed block
reachability,condition,L075/T075,P-B6,64,64,0.02610349199516953,0.019740365407041216,0.013180799636146365,0.03951095956454902,48,0,16,shared seed block
reachability,condition,L075/T100,P-B6,64,64,0.024078127102223325,0.011590099917078614,0.010268724474352816,0.037812297166464684,50,0,14,shared seed block
reachability,condition,L075/T125,P-B6,64,64,0.022134356090298207,0.010915977446449995,0.008674032012792158,0.035640528676415706,47,0,17,shared seed block
reachability,condition,L100/T075,P-B6,64,64,0.0165775200118417,0.01307863266059859,0.003996816596490695,0.02965825286989587,42,0,22,shared seed block
reachability,condition,L100/T100,P-B6,64,64,0.022616992084382285,0.014151764541874848,0.010668821821524626,0.03509527208918316,44,0,20,shared seed block
reachability,condition,L100/T125,P-B6,64,64,0.018722699068079465,0.014167307831602867,0.006951213704769791,0.03113751634177563,43,0,21,shared seed block
reachability,condition,L125/T075,P-B6,64,64,0.0214785930813612,0.01763284663028615,0.0098223023289468,0.03405434453956057,45,0,19,shared seed block
reachability,condition,L125/T100,P-B6,64,64,0.019063670358009162,0.018445424118597537,0.007716003450143782,0.031495804423613924,40,2,22,shared seed block
reachability,condition,L125/T125,P-B6,64,64,0.016642468208975043,0.010131157063446215,0.004544441849567434,0.028762456150038897,41,2,21,shared seed block
reachability,condition,L075/T075,P-SCBBA,64,64,0.02515988183962596,0.019928411433336027,0.008802659437844293,0.042335075381692726,40,0,24,shared seed block
reachability,condition,L075/T100,P-SCBBA,64,64,0.018094645354466046,0.009977689418713596,0.0010714115486676898,0.03627123049456006,34,0,30,shared seed block
reachability,condition,L075/T125,P-SCBBA,64,64,0.01495992063528405,0.009977689418713596,-0.0025157813588309688,0.03317441858123493,34,0,30,shared seed block
reachability,condition,L100/T075,P-SCBBA,64,64,0.02375585442002659,0.0054596089664845394,0.004366090380532493,0.04488735481117756,35,0,29,shared seed block
reachability,condition,L100/T100,P-SCBBA,64,64,0.027281377555721735,0.007743530058183012,0.008450688330181222,0.04804756053646684,40,0,24,shared seed block
reachability,condition,L100/T125,P-SCBBA,64,64,0.020242769383432894,0.0013289945611696594,0.0006587027829666839,0.041047157670635305,32,0,32,shared seed block
reachability,condition,L125/T075,P-SCBBA,64,64,0.019140024765467435,-0.0020385950789467444,0.0032490582034249175,0.03643757596471015,31,0,33,shared seed block
reachability,condition,L125/T100,P-SCBBA,64,64,0.03228402889618383,0.006467192396272303,0.011393638306748674,0.05637262425535284,36,0,28,shared seed block
reachability,condition,L125/T125,P-SCBBA,64,64,0.02470803342865549,-0.00021390817667048256,0.003385290678768357,0.04780859846683382,32,0,32,shared seed block
