map_scale,time_scale,map_side_normalized,horizon,rho_T,rho_R,rho_tau
0.75,0.75,18.0,39,2.1666666666666665,2.7083333333333335,0.19230769230769232
0.75,1.0,18.0,51,2.8333333333333335,3.5416666666666665,0.14705882352941177
0.75,1.25,18.0,64,3.5555555555555554,4.444444444444445,0.1171875
1.0,0.75,24.0,39,1.625,2.03125,0.19230769230769232
1.0,1.0,24.0,51,2.125,2.65625,0.14705882352941177
1.0,1.25,24.0,64,2.6666666666666665,3.3333333333333335,0.1171875
1.25,0.75,30.0,39,1.3,1.625,0.19230769230769232
1.25,1.0,30.0,51,1.7,2.125,0.14705882352941177
1.25,1.25,30.0,64,2.1333333333333333,2.6666666666666665,0.1171875
