experiment_group,suite,method,episodes,observation_ack_packets_per_episode,screening_packets_upper_per_episode,cbba_packets_per_episode,total_packets_upper_per_episode,observation_ack_bytes_per_episode,screening_bytes_upper_per_episode,cbba_bytes_per_episode,total_bytes_upper_per_episode,accounting_convention
core_comparison,core_comparison,B1m,4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,continuous_belief,B6,1024,9.29296875,29.017578125,0.0,38.310546875,260.203125,3230.4140625,0.0,3490.6171875,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,continuous_belief,DVCBBA,1024,8.642578125,27.3359375,59.416015625,95.39453125,241.9921875,3022.21875,3413.1328125,6677.34375,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,continuous_belief,P,1024,8.787109375,27.75,65.484375,102.021484375,246.0390625,3075.75,3750.984375,7072.7734375,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,continuous_belief,SCBBA,1024,4.95703125,4.0,21.958984375,30.916015625,138.796875,432.0,1332.5625,1903.359375,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,model_mismatch,B1m,4608,3.27734375,4.0,22.24609375,29.5234375,91.765625,432.0,1344.84375,1868.609375,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,model_mismatch,B4,4608,7.182942708333333,23.40625,74.140625,104.72981770833333,201.12239583333334,1834.4583333333333,4318.375,6353.955729166667,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,model_mismatch,B5(4),4608,5.3671875,14.88498263888889,46.56336805555556,66.81553819444444,150.28125,1653.171875,2798.453125,4601.90625,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,model_mismatch,B6,4608,7.979166666666667,25.53559027777778,0.0,33.51475694444444,223.41666666666666,2845.8020833333335,0.0,3069.21875,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,model_mismatch,DVCBBA,4608,7.504340277777778,24.32595486111111,69.64149305555556,101.47178819444444,210.12152777777777,2702.0677083333335,4055.2916666666665,6967.480902777777,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,model_mismatch,P,4608,7.514105902777778,24.34548611111111,78.88064236111111,110.740234375,210.39496527777777,2704.6458333333335,4582.625,7497.665798611111,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,model_mismatch,SCBBA,4608,3.271484375,4.0,19.03515625,26.306640625,91.6015625,432.0,1153.5,1677.1015625,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,scale,B1m,672,56.038690476190474,34.857142857142854,252.93154761904762,343.82738095238096,1569.0833333333333,18144.0,68753.75,88466.83333333333,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,scale,B4,672,188.0967261904762,1277.544642857143,1181.5565476190477,2647.1979166666665,5266.708333333333,504893.39285714284,303845.46428571426,814005.5654761905,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,scale,B5(4),672,167.38988095238096,394.9970238095238,1399.7380952380952,1962.125,4686.916666666667,222180.67857142858,389973.9285714286,616841.5238095238,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,scale,B6,672,205.72470238095238,1417.4464285714287,0.0,1623.171130952381,5760.291666666667,826048.2857142857,0.0,831808.5773809524,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,scale,DVCBBA,672,176.39732142857142,1205.0595238095239,1264.8660714285713,2646.3229166666665,4939.125,693753.2142857143,324994.0714285714,1023686.4107142857,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,scale,P,672,198.5297619047619,1360.8511904761904,1516.1994047619048,3075.5803571428573,5558.833333333333,793783.4285714285,393940.78571428574,1193283.0476190476,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,scale,SCBBA,672,50.12202380952381,34.857142857142854,238.82440476190476,323.80357142857144,1403.4166666666667,18144.0,65705.53571428571,85252.95238095238,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,utility_profile,B1m,1536,3.455078125,4.0,22.43359375,29.888671875,96.7421875,432.0,1355.75,1884.4921875,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,utility_profile,B4,1536,7.455078125,24.12890625,72.45833333333333,104.04231770833333,208.7421875,1886.484375,4209.90625,6305.1328125,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,utility_profile,B5(4),1536,5.2265625,14.697916666666666,44.747395833333336,64.671875,146.34375,1623.5625,2671.90625,4441.8125,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
external_validation,utility_profile,B6,1536,8.055338541666666,25.734375,0.0,33.789713541666664,225.54947916666666,2873.1875,0.0,3098.7369791666665,recipient-specific packets; dense full-fleet screening upper bound; 28-byte public event; 12-byte packet header; float64 score; int32 winner plus float64 bid
