bda_group,scenario_count,mean,p05,p25,median,p75,p95,ci_low,ci_high,win,tie,loss,mean_delta_destroyed_value,mean_delta_service_cost,mean_delta_distance_cost,mean_delta_ammo_cost,mean_delta_invalid_attack,max_abs_utility_identity_residual,analysis_label
all,4096,0.004942622485017402,-0.046586499312012655,-0.007490172339271933,-0.00343585115962056,0.00575092519024669,0.1291314516191907,0.002859724043670462,0.007020799419309935,1186,480,2430,3.0380676595480693,1.7098825493868657,-0.007753837487349556,-0.0352783203125,-0.16845703125,4.618527782440651e-14,posthoc_explanatory
0,525,0.000542553311256869,0.0,0.0,0.0,0.0,0.0072509166121379,-0.001352584546545402,0.002462251988032169,33,480,12,-0.0016198817009056992,-0.10917283839638539,-0.06653442000837827,0.0,0.0019047619047619048,2.1316282072803006e-14,posthoc_explanatory
1,1617,0.0009529663449810063,-0.02826445030740567,-0.005699988686536095,-0.0037942992015688737,-0.0019059209893692586,0.061927035244723656,-0.0020213114074459073,0.003934135875115525,382,0,1235,0.6871728730195727,0.5195567586612175,0.00254174676258634,-0.06369820655534941,-0.14780457637600494,4.618527782440651e-14,posthoc_explanatory
2+,1954,0.009426404621487784,-0.07056791374510218,-0.012407400768313342,-0.005589636806316422,0.014447254943133859,0.18475598002410917,0.005844853748227526,0.013054319991567245,771,0,1183,5.800213426678206,3.1836598688288205,-0.00048063068520333305,-0.021238485158648925,-0.23132036847492324,4.618527782440651e-14,posthoc_explanatory
