cell_id,agents,targets,method,episodes,mean_normalized_utility,allocator_calls,converged_calls,nonconverged_calls,convergence_rate,rounds_per_converged_epoch,message_packets_per_converged_epoch,planning_ms_p50,planning_ms_p95,nonconverged_wasted_rounds,nonconverged_wasted_message_packets
N8-M20-Rscaled,8,20,B5(4),96,0.17439455380765026,995,995,0,1.0,5.520603015075377,196.05829145728643,15.625,62.5,0,0
N8-M20-Rscaled,8,20,B6,96,0.18333806391120067,3744,3744,0,1.0,0.0,0.0,15.625,15.625,0,0
N8-M20-Rscaled,8,20,DVCBBA,96,0.16875164039319138,3301,3269,32,0.9903059678885187,4.156011012542062,67.59559498317529,15.625,15.625,184,4394
N8-M20-Rscaled,8,20,P,96,0.18667732487106956,3588,3588,0,1.0,4.51365663322185,72.82497212931996,15.625,15.625,0,0
N8-M20-Rscaled,8,20,SCBBA,96,0.07735652090966857,96,88,8,0.9166666666666666,6.5227272727272725,365.27272727272725,46.875,78.125,58,3248
N8-M30-Rscaled,8,30,B1m,96,0.07843036787438874,96,96,0,1.0,7.708333333333333,431.6666666666667,218.75,312.5,0,0
N8-M30-Rscaled,8,30,B4,96,0.17541597686318675,5193,5193,0,1.0,4.273637589062199,39.353360292701716,15.625,31.25,0,0
N8-M30-Rscaled,8,30,B5(4),96,0.16860442039434909,1323,1323,0,1.0,5.898715041572184,206.19954648526078,31.25,187.5,0,0
N8-M30-Rscaled,8,30,B6,96,0.17309061569028686,5418,5418,0,1.0,0.0,0.0,15.625,31.25,0,0
N8-M30-Rscaled,8,30,DVCBBA,96,0.15396273768974306,4354,4319,35,0.9919614147909968,4.100486223662885,43.75688816855754,15.625,31.25,286,10592
N8-M30-Rscaled,8,30,P,96,0.18472323571640223,5242,5242,0,1.0,4.3313620755436855,48.37275848912629,15.625,31.25,0,0
N8-M30-Rscaled,8,30,SCBBA,96,0.06626798202023537,96,81,15,0.84375,7.160493827160494,400.98765432098764,171.875,296.875,160,8960
