method,metric,episodes,equal_cell_mean,episode_median,bootstrap_ci_low,bootstrap_ci_high
P,fixed,512,0.006986360900394306,0.0,0.0027789835348000637,0.012331761854195735
P,all_mode,512,0.07174228043196974,0.0,0.04412933279837438,0.10294102855220902
SCBBA,fixed,512,0.026879239818232283,0.0,0.011797293732109141,0.045832061132158784
SCBBA,all_mode,512,0.0408897485892145,0.0,0.024638997617673103,0.060603284761861796
DVCBBA,fixed,512,0.006986360900394306,0.0,0.0027925477106459937,0.012496027080851263
DVCBBA,all_mode,512,0.07174228043196974,0.0,0.04423860501051008,0.10296389634073967
