suite,method,episodes,mean_normalized_utility,mean_legal_commit_epoch_rate,mean_allocation_stall_rate,mean_nonconverged_episode,mean_cycles,mean_round_caps,mean_winner_conflicts,mean_rounds_per_commit,mean_messages_per_commit,mean_planning_ms_per_commit,mean_warping_activations,mean_raw_prefix_increases,total_cycles,total_round_caps,total_stalls
pressure,V00,768,0.1856998919778545,0.9238059421620847,0.07619405783791526,0.12630208333333334,0.16927083333333334,0.0,0.21354166666666666,4.069335689262363,37.69919687134971,9.275257375654002,0.0,1.3333333333333333,130,0,130
pressure,V01,768,0.18311664020403606,0.914274459937789,0.08572554006221106,0.13151041666666666,0.1640625,0.0,0.23958333333333334,4.222637905279876,39.5965990649685,10.195259053376843,0.0,1.53515625,126,0,126
pressure,V10,768,0.19813869060342815,1.0,0.0,0.0,0.0,0.0,0.0,4.353758567454476,39.78537694048572,10.49814389115197,2.0065104166666665,1.6497395833333333,0,0,0
pressure,V11,768,0.19811638069174817,1.0,0.0,0.0,0.0,0.0,0.0,4.580970052109581,42.587215460893894,11.644789297938459,1.98828125,1.6354166666666667,0,0,0
scale,V00,448,0.1684588030612029,0.9094535816918281,0.09054641830817191,0.125,0.17410714285714285,0.0,0.10714285714285714,3.8327553550924756,37.180435654583036,11.01513385843729,0.0,4.274553571428571,78,0,78
scale,V01,448,0.1696843871355274,0.9195077521037144,0.08049224789628569,0.11607142857142858,0.14508928571428573,0.0,0.17633928571428573,4.192191783531736,41.96901456534075,11.780988972729103,0.0,4.419642857142857,65,0,65
scale,V10,448,0.18383533961659052,1.0,0.0,0.0,0.0,0.0,0.0,4.187685562715665,40.06776962010827,12.589132150466932,5.566964285714286,5.037946428571429,0,0,0
scale,V11,448,0.1838795887841122,1.0,0.0,0.0,0.0,0.0,0.0,4.532763039222127,44.95671684985177,13.506795450434709,5.553571428571429,5.026785714285714,0,0,0
