suite,scope,level,contrast,scenario_count,seed_block_count,seed_block_mean,episode_median,bootstrap_ci_low,bootstrap_ci_high,win,tie,loss,bootstrap_unit
battlefield_structure,condition,clustered/D00,P-DVCBBA,64,64,0.03534921126170574,0.0,0.012069697988999725,0.06375179077358165,24,24,16,shared seed block
battlefield_structure,condition,clustered/D20,P-DVCBBA,64,64,0.03405722808189439,0.0,0.013517293003387967,0.05850518144921813,25,30,9,shared seed block
battlefield_structure,condition,clustered/D40,P-DVCBBA,64,64,0.017720138209696243,0.0,0.004377358843113912,0.03340432793203058,30,14,20,shared seed block
battlefield_structure,condition,clustered/D60,P-DVCBBA,64,64,0.028134450500840538,0.0,0.014643515513172698,0.04267132800934672,25,23,16,shared seed block
battlefield_structure,condition,mixed/D00,P-DVCBBA,64,64,0.02805311461419347,0.0,0.006912061092880052,0.05436939658822088,19,33,12,shared seed block
battlefield_structure,condition,mixed/D20,P-DVCBBA,64,64,0.022989151211208023,0.0,0.0034098079114125127,0.04702024480118888,10,45,9,shared seed block
battlefield_structure,condition,mixed/D40,P-DVCBBA,64,64,0.02588097523481622,0.0,0.00978369395001483,0.044740932802863564,19,33,12,shared seed block
battlefield_structure,condition,mixed/D60,P-DVCBBA,64,64,0.023626547058027005,0.0,0.011517686204088738,0.0366355852699583,23,29,12,shared seed block
battlefield_structure,condition,uniform/D00,P-DVCBBA,64,64,0.02692629164744295,0.0,0.00825434891218521,0.04987401630311856,18,37,9,shared seed block
battlefield_structure,condition,uniform/D20,P-DVCBBA,64,64,0.03826279836333682,0.0,0.017503769594040732,0.06171761107449416,12,50,2,shared seed block
battlefield_structure,condition,uniform/D40,P-DVCBBA,64,64,0.02712026905688783,0.0,0.01091295744049029,0.046261889001533,12,48,4,shared seed block
battlefield_structure,condition,uniform/D60,P-DVCBBA,64,64,0.009533436205690506,0.0,0.002117096870242462,0.01855823850627773,12,47,5,shared seed block
