scenario_id,cell_id,p_bda_count,bda_group,delta_normalized_utility,delta_destroyed_value,delta_service_cost,delta_distance_cost,delta_ammo_cost,delta_realized_utility,delta_invalid_attack,delta_initial_wreck_attack,utility_identity_residual,ecdf
D2-N2-M5-Rtight-S1061,N2-M5-Rtight,1,1,-0.0028680976513821566,0.0,1.23328199009433,0.0,0.0,-1.2332819900943264,0,0,-3.552713678800501e-15,0.53369140625
D2-N2-M5-Rtight-S1354,N2-M5-Rtight,1,1,-0.002866859762956267,0.0,0.8313893312573173,0.0,0.0,-0.8313893312573182,0,0,8.881784197001252e-16,0.533935546875
D2-N2-M5-Rtight-S1398,N2-M5-Rtight,1,1,-0.002862712428545071,0.0,0.7931926432252929,0.4377737010490862,0.0,-1.2309663442743801,1,1,8.881784197001252e-16,0.5341796875
D2-N3-M3-Rtight-S1001,N3-M3-Rtight,1,1,-0.0028543240112271495,0.0,0.8562972033681469,0.0,0.0,-0.8562972033681575,0,0,1.0658141036401503e-14,0.534423828125
D2-N3-M5-Rtight-S1376,N3-M5-Rtight,1,1,-0.0028492900058362802,0.0,0.8262941016925129,0.0,0.0,-0.8262941016925112,0,0,-1.7763568394002505e-15,0.53466796875
D2-N3-M3-Rloose-S1131,N3-M3-Rloose,1,1,-0.0028427533132362737,0.0,0.8528259939708818,0.0,0.0,-0.8528259939708818,0,0,0.0,0.534912109375
D2-N2-M5-Rtight-S1466,N2-M5-Rtight,1,1,-0.002842438682754654,0.0,1.2222486335845009,0.0,0.0,-1.2222486335845026,0,0,1.7763568394002505e-15,0.53515625
D2-N2-M3-Rtight-S1292,N2-M3-Rtight,1,1,-0.002842376990158102,0.0,0.852713097047431,0.0,0.0,-0.852713097047431,0,0,0.0,0.535400390625
D2-N2-M5-Rtight-S1270,N2-M5-Rtight,1,1,-0.0028270597167656605,0.0,1.2156356782092335,0.0,0.0,-1.2156356782092335,0,0,0.0,0.53564453125
D2-N3-M5-Rtight-S1342,N3-M5-Rtight,1,1,-0.002826387782321166,0.0,1.215346746398101,0.0,0.0,-1.2153467463980974,0,0,-3.552713678800501e-15,0.535888671875
D2-N2-M5-Rtight-S1178,N2-M5-Rtight,1,1,-0.0028258325565304818,0.0,1.017299720350973,0.0,0.0,-1.017299720350973,0,0,0.0,0.5361328125
D2-N2-M3-Rloose-S1150,N2-M3-Rloose,1,1,-0.0028255672811893593,0.0,0.8476701843568084,0.0,0.0,-0.847670184356808,0,0,-4.440892098500626e-16,0.536376953125
D2-N2-M3-Rloose-S1291,N2-M3-Rloose,1,1,-0.0027979184714092276,0.0,0.8393755414227648,0.0,0.0,-0.8393755414227684,0,0,3.552713678800501e-15,0.53662109375
D2-N2-M5-Rtight-S1498,N2-M5-Rtight,1,1,-0.0027961918371883776,0.0,0.8108956327846286,0.0,0.0,-0.8108956327846215,0,0,-7.105427357601002e-15,0.536865234375
D2-N2-M5-Rtight-S1278,N2-M5-Rtight,1,1,-0.002778656837200244,0.0,1.0003164613920799,0.0,0.0,-1.0003164613920887,0,0,8.881784197001252e-15,0.537109375
D2-N3-M5-Rtight-S1489,N3-M5-Rtight,1,1,-0.002773876153970123,0.0,0.7124820148004538,0.4802847314066898,0.0,-1.1927667462071554,1,0,1.176836406102666e-14,0.537353515625
D2-N3-M5-Rtight-S1106,N3-M5-Rtight,1,1,-0.0027608663503360595,0.0,1.1871725306445065,0.0,0.0,-1.1871725306445065,0,0,0.0,0.53759765625
D2-N3-M5-Rtight-S1308,N3-M5-Rtight,1,1,-0.002759616637535517,0.0,0.9934619895127845,0.0,0.0,-0.993461989512781,0,0,-3.552713678800501e-15,0.537841796875
D2-N3-M5-Rtight-S1380,N3-M5-Rtight,1,1,-0.0027483913474820425,0.0,0.9894208850935353,0.0,0.0,-0.9894208850935353,0,0,0.0,0.5380859375
D2-N2-M5-Rtight-S1163,N2-M5-Rtight,1,1,-0.0027448476176851824,0.0,0.7960058091287046,0.0,0.0,-0.7960058091287046,0,0,0.0,0.538330078125
D2-N2-M5-Rtight-S1255,N2-M5-Rtight,1,1,-0.0027427299774783753,0.0,0.9873827918922178,0.0,0.0,-0.987382791892216,0,0,-1.7763568394002505e-15,0.53857421875
D2-N2-M5-Rtight-S1457,N2-M5-Rtight,1,1,-0.002741747260056715,0.0,1.1789513218243872,0.0,0.0,-1.1789513218243872,0,0,0.0,0.538818359375
D2-N2-M5-Rtight-S1447,N2-M5-Rtight,1,1,-0.0027366064066345064,0.0,0.7936158579240091,0.0,0.0,-0.79361585792401,0,0,8.881784197001252e-16,0.5390625
D2-N3-M3-Rloose-S1255,N3-M3-Rloose,1,1,-0.0027361193858459476,0.0,0.8208358157537887,0.0,0.0,-0.8208358157537887,0,0,0.0,0.539306640625
D2-N3-M3-Rloose-S1451,N3-M3-Rloose,1,1,-0.0027342855890074153,0.0,0.8202856767022269,0.0,0.0,-0.8202856767022269,0,0,0.0,0.53955078125
D2-N3-M5-Rtight-S1196,N3-M5-Rtight,1,1,-0.002733955821942774,0.0,1.1756010034353839,0.0,0.0,-1.1756010034353892,0,0,5.329070518200751e-15,0.539794921875
D2-N3-M5-Rtight-S1400,N3-M5-Rtight,1,1,-0.0027306633996360408,0.0,0.9830388238689771,0.0,0.0,-0.9830388238689807,0,0,3.552713678800501e-15,0.5400390625
D2-N3-M5-Rtight-S1240,N3-M5-Rtight,1,1,-0.002724537547336925,0.0,0.9808335170412921,0.0,0.0,-0.9808335170412903,0,0,-1.7763568394002505e-15,0.540283203125
D2-N2-M3-Rloose-S1502,N2-M3-Rloose,1,1,-0.002723749044152521,0.0,0.8171247132457558,0.0,0.0,-0.817124713245756,0,0,2.220446049250313e-16,0.54052734375
D2-N2-M5-Rtight-S1031,N2-M5-Rtight,1,1,-0.002720871376893752,0.0,0.9795136956817476,0.0,0.0,-0.9795136956817458,0,0,-1.7763568394002505e-15,0.540771484375
D2-N3-M5-Rtight-S1086,N3-M5-Rtight,1,1,-0.0027192644907801863,0.0,0.4796806630136672,0.6896030680218135,0.0,-1.169283731035481,0,0,4.440892098500626e-16,0.541015625
D2-N3-M5-Rtight-S1192,N3-M5-Rtight,1,1,-0.002716455791039532,0.0,1.168075990146999,0.0,0.0,-1.168075990146999,0,0,0.0,0.541259765625
D2-N3-M5-Rtight-S1325,N3-M5-Rtight,1,1,-0.002709320351344406,0.0,0.9753553264839887,0.0,0.0,-0.9753553264839852,0,0,-3.552713678800501e-15,0.54150390625
D2-N2-M5-Rtight-S1283,N2-M5-Rtight,1,1,-0.0027091065268960053,0.0,0.9752783496825597,0.0,0.0,-0.9752783496825614,0,0,1.7763568394002505e-15,0.541748046875
D2-N2-M5-Rloose-S1312,N2-M5-Rloose,2,2+,-0.002699359891525671,1.0346287157747867,2.0063982767240205,0.0,0.0,-0.9717695609492409,0,0,7.105427357601002e-15,0.5419921875
D2-N2-M5-Rtight-S1443,N2-M5-Rtight,1,1,-0.0026952635356412014,0.0,0.9702948728308272,0.0,0.0,-0.9702948728308343,0,0,7.105427357601002e-15,0.542236328125
D2-N3-M5-Rtight-S1255,N3-M5-Rtight,1,1,-0.002694067081235263,0.0,0.9698641492447013,0.0,0.0,-0.9698641492446995,0,0,-1.7763568394002505e-15,0.54248046875
D2-N2-M5-Rtight-S1254,N2-M5-Rtight,1,1,-0.0026889505805248112,0.0,1.1562487496256662,0.0,0.0,-1.1562487496256662,0,0,0.0,0.542724609375
D2-N3-M5-Rtight-S1284,N3-M5-Rtight,1,1,-0.0026845678498701175,0.0,0.9664444259532416,0.0,0.0,-0.9664444259532416,0,0,0.0,0.54296875
D2-N3-M5-Rtight-S1215,N3-M5-Rtight,1,1,-0.0026797907638001182,0.0,0.9647246749680418,0.0,0.0,-0.9647246749680427,0,0,8.881784197001252e-16,0.543212890625
D2-N2-M5-Rtight-S1420,N2-M5-Rtight,1,1,-0.002678404510174842,0.0,0.9642256236629461,0.0,0.0,-0.9642256236629407,0,0,-5.329070518200751e-15,0.54345703125
D2-N2-M5-Rtight-S1028,N2-M5-Rtight,1,1,-0.002665825656123416,0.0,1.1463050321330766,0.0,0.0,-1.1463050321330712,0,0,-5.329070518200751e-15,0.543701171875
D2-N3-M5-Rtight-S1187,N3-M5-Rtight,1,1,-0.002663819565156461,0.0,0.7861799699543646,0.35926244306291255,0.0,-1.1454424130172782,0,-1,1.1102230246251565e-15,0.5439453125
D2-N3-M5-Rtight-S1341,N3-M5-Rtight,1,1,-0.00265901850650041,0.0,0.8037225198051594,0.33965543799001563,0.0,-1.143377957795181,1,0,5.995204332975845e-15,0.544189453125
D2-N2-M5-Rtight-S1386,N2-M5-Rtight,1,1,-0.002658267605089533,0.0,1.143055070188499,0.0,0.0,-1.143055070188499,0,0,0.0,0.54443359375
D2-N2-M5-Rtight-S1362,N2-M5-Rtight,1,1,-0.0026575085009846316,0.0,0.6644109434115251,0.478317712011868,0.0,-1.1427286554233937,0,0,6.661338147750939e-16,0.544677734375
D2-N3-M5-Rtight-S1292,N3-M5-Rtight,1,1,-0.0026567672705223797,0.0,1.1424099263246248,0.0,0.0,-1.1424099263246248,0,0,0.0,0.544921875
